municipio,populacao,PIB
Descoberto,5058.0,81744.574
Desterro de Entre Rios,7900.0,261204.331
Desterro do Melo,3059.0,50625.178
Diamantina,49353.0,984259.055
Diogo de Vasconcelos,3596.0,42942.07
Dionísio,6789.0,90882.554
Divinésia,4426.0,63715.452
Divino,21329.0,319461.989
Divino das Laranjeiras,4186.0,61695.255
Divinolândia de Minas,6607.0,82295.474
Divinópolis,242328.0,8331346.293
Divisa Alegre,6513.0,178208.418
Divisa Nova,5993.0,129554.517
Divisópolis,10585.0,93202.343
Dom Bosco,3767.0,69301.829
Dom Cavati,4981.0,69648.336
Dom Joaquim,5051.0,67822.666
Dom Silvério,5350.0,107931.836
Dom Viçoso,3176.0,39051.772
Dona Euzébia,6241.0,109905.25
Dores de Campos,10313.0,320214.975
Dores de Guanhães,5121.0,190682.631
Dores do Indaiá,12786.0,352231.837
Dores do Turvo,5159.0,66847.48
Doresópolis,1496.0,84133.828
Douradoquara,1869.0,79332.811
Durandé,8038.0,122893.402
Elói Mendes,27343.0,705929.941
Engenheiro Caldas,14308.0,157033.127
Engenheiro Navarro,6411.0,92061.407
Entre Folhas,5293.0,64926.477
Entre Rios de Minas,15120.0,270226.089
Ervália,20951.0,409476.591
Esmeraldas,91573.0,973105.45
Espera Feliz,24761.0,411020.239
Espinosa,31385.0,363981.598
Espírito Santo do Dourado,7007.0,122239.281
Estiva,11836.0,601894.385
Estrela Dalva,2204.0,42898.019
Estrela do Indaiá,2750.0,165292.078
Estrela do Sul,6926.0,351924.482
Eugenópolis,11075.0,221830.165
Ewbank da Câmara,3977.0,54363.671
Extrema,57913.0,13651225.14
Fama,2662.0,58635.081
Faria Lemos,3239.0,64377.787
Felício dos Santos,5248.0,73738.636
São Gonçalo do Rio Preto,3098.0,48754.322
Felisburgo,6592.0,75706.833
Felixlândia,14279.0,281155.264
Fernandes Tourinho,2825.0,45855.955
Ferros,9666.0,147924.141
Fervedouro,10693.0,156888.605
Florestal,8386.0,142808.925
Formiga,70668.0,2214110.063
Formoso,8103.0,314916.613
Fortaleza de Minas,3485.0,111306.451
Fortuna de Minas,3207.0,51272.056
Francisco Badaró,7208.0,77813.502
Francisco Dumont,4564.0,75609.494
Francisco Sá,23819.0,451860.265
Franciscópolis,5062.0,102827.542
Frei Gaspar,5741.0,80106.277
Frei Inocêncio,8334.0,150489.857
Frei Lagonegro,3475.0,35559.07
Fronteira,14909.0,935151.865
Fronteira dos Vales,4405.0,48953.206
Fruta de Leite,4607.0,47085.742
Frutal,60942.0,2473117.867
Funilândia,4886.0,83332.732
Galiléia,6281.0,113734.445
Gameleiras,4863.0,57339.107
Glaucilândia,2991.0,41128.724
Goiabeira,2869.0,49908.236
Goianá,4190.0,62270.287
Gonçalves,4891.0,94284.947
Gonzaga,5271.0,68973.104
Gouveia,11549.0,198923.355
Governador Valadares,266649.0,7382837.155
Grão Mogol,14091.0,770889.042
Grupiara,1426.0,44200.113
Guanhães,33434.0,996965.154
Guapé,14073.0,390783.503
Guaraciaba,9921.0,115228.39
Guaraciama,5203.0,78026.547
Guaranésia,19611.0,549336.073
Guarani,7780.0,173714.44
Guarará,3132.0,57636.132
Guarda-Mor,6684.0,750723.257
Guaxupé,52621.0,2806365.843
Guidoval,7284.0,123658.948
Guimarânia,8808.0,327235.78
Guiricema,7850.0,114431.438
Gurinhatã,5203.0,180809.039
Heliodora,6274.0,133453.974
Iapu,12486.0,176418.878
Ibertioga,5334.0,103561.239
Ibiá,22596.0,1534749.371
Ibiaí,6254.0,114963.201
Ibiracatu,5139.0,51265.028
Ibiraci,11057.0,728304.874
Ibirité,178713.0,3203506.455
Ibitiúra de Minas,3439.0,77637.614
Ibituruna,2740.0,59357.58
Icaraí de Minas,10912.0,111446.652
Igarapé,48475.0,967311.812
Igaratinga,11252.0,578190.305
Iguatama,6845.0,587430.103
Ijaci,7291.0,494881.518
Ilicínea,13171.0,265383.843
Imbé de Minas,7208.0,101173.684
Inconfidentes,7510.0,132576.425
Indaiabira,6379.0,87311.937
Indianópolis,6309.0,875662.548
Ingaí,2633.0,115702.196
Inhapim,23000.0,404796.05
Inhaúma,6435.0,145789.494
Inimutaba,7587.0,90737.069
Ipaba,17554.0,180314.904
Ipanema,20095.0,344577.052
Ipatinga,235445.0,17609176.968
Ipiaçu,3823.0,183083.671
Ipuiúna,9299.0,188529.604
Iraí de Minas,7423.0,301550.93
Itabira,117747.0,14971929.073
Itabirinha,10560.0,136423.413
Itabirito,55877.0,13139828.428
Itacambira,4265.0,61720.789
Itacarambi,17521.0,226363.113
Itaguara,14325.0,402464.393
Itaipé,10549.0,121601.574
Itajubá,96632.0,3288440.957
Itamarandiba,34137.0,647509.275
Itamarati de Minas,3730.0,67335.811
Itambacuri,21296.0,341051.753
Itambé do Mato Dentro,2175.0,35921.695
Itamogi,11062.0,236364.975
Itamonte,15193.0,1182177.238
Itanhandu,15684.0,470229.411
Itanhomi,11298.0,151295.731
Itaobim,19354.0,308690.477
Itapagipe,14004.0,514268.71
Itapecerica,21462.0,629194.529
Itapeva,13332.0,848635.599
Itatiaiuçu,13603.0,6934792.196
Itaú de Minas,14655.0,724265.539
Itaúna,102500.0,5084952.278
Itaverava,5752.0,71362.81
Itinga,13982.0,148257.86
Itueta,6218.0,122206.873
Ituiutaba,106397.0,3797931.79
Itumirim,6845.0,91621.644
Iturama,40011.0,2017454.893
Itutinga,4347.0,172514.573
Jaboticatubas,21214.0,297900.739
Jacinto,11169.0,131584.428
Jacuí,7663.0,150968.389
Jacutinga,26705.0,1143965.044
Jaguaraçu,3173.0,109845.21
Jaíba,39379.0,849209.777
Jampruca,4306.0,82539.515
Janaúba,73281.0,1603650.577
Januária,67087.0,824599.063
Japaraíba,4672.0,101337.42
Japonvar,8357.0,77422.822
Jeceaba,6428.0,1953258.616
Jenipapo de Minas,6124.0,79480.385
Jequeri,12652.0,193980.906
Jequitaí,6460.0,130473.747
Jequitibá,6098.0,126191.23
Jequitinhonha,24509.0,274831.774
Jesuânia,5296.0,104203.604
Joaíma,14084.0,162643.746
Joanésia,4304.0,110226.932
João Monlevade,83360.0,4851241.182
João Pinheiro,48532.0,2156171.024
Joaquim Felício,3891.0,72335.229
Jordânia,10536.0,107172.301
José Gonçalves de Minas,3993.0,51745.418
José Raydan,4352.0,72338.422
Josenópolis,3607.0,58027.663
Nova União,6083.0,107517.633
Juatuba,32726.0,1437154.795
Juiz de Fora,565764.0,20297559.28
Juramento,3815.0,51608.971
Juruaia,11543.0,274109.307
Juvenília,5929.0,65632.737
Ladainha,14399.0,147329.759
Lagamar,6672.0,242527.188
Lagoa da Prata,53583.0,1986274.145
Lagoa dos Patos,3285.0,59611.044
Lagoa Dourada,13116.0,345418.19
Lagoa Formosa,19507.0,565583.483
Lagoa Grande,9210.0,292506.347
Lagoa Santa,79981.0,2189391.49
Lajinha,21422.0,399673.221
Lambari,20950.0,405063.763
Lamim,3226.0,52130.714
Laranjal,6042.0,95787.531
Lassance,7358.0,192541.291
Lavras,109884.0,2941930.863
Leandro Ferreira,3270.0,55510.38
Leme do Prado,4387.0,66204.533
Leopoldina,52696.0,1113026.555
Liberdade,4775.0,107638.401
Lima Duarte,17712.0,339660.356
Limeira do Oeste,9087.0,462851.239
Lontra,8968.0,93857.735
Luisburgo,7195.0,132788.73
Luislândia,6329.0,65473.851
Luminárias,5731.0,149070.368
Luz,18304.0,657024.724
Machacalis,6579.0,112451.165
Machado,38831.0,1373850.261
Madre de Deus de Minas,5341.0,301987.845
Malacacheta,17751.0,235819.04
Mamonas,6096.0,60107.096
Manga,19188.0,243370.558
Manhuaçu,96545.0,3278527.106
Manhumirim,20970.0,563494.376
Mantena,27358.0,476939.715
Maravilhas,7518.0,233154.055
Mar de Espanha,13119.0,227578.1
Maria da Fé,14557.0,203136.241
Mariana,64058.0,7367378.398
Marilac,4320.0,57718.793
Mário Campos,16546.0,197999.95
Maripá de Minas,3532.0,74979.157
Marliéria,4761.0,60449.549
Marmelópolis,3299.0,42793.691
Martinho Campos,14461.0,474771.927
Martins Soares,8725.0,215680.786
Mata Verde,9458.0,91576.89
Materlândia,3982.0,60533.919
Mateus Leme,40239.0,1079650.545
Matias Barbosa,14501.0,628204.762
Matias Cardoso,8975.0,158637.536
Matipó,19054.0,425321.565
Mato Verde,12238.0,157577.884
Matozinhos,39291.0,1506153.894
Matutina,3907.0,97194.489
Medeiros,4040.0,247329.857
Medina,20492.0,253050.631
Mendes Pimentel,5651.0,77396.23
Mercês,10609.0,151768.137
Mesquita,5038.0,59462.506
Minas Novas,24191.0,350142.236
Minduri,3815.0,163785.625
Mirabela,14029.0,163016.755
Miradouro,9026.0,174005.987
Miraí,13922.0,334110.12
Miravânia,4011.0,46807.545
Moeda,5291.0,76841.618
Moema,7778.0,152615.014
Monjolos,2196.0,46810.817
Monsenhor Paulo,8550.0,228157.862
