municipio,populacao,PIB,area_ha
Felixlândia,14279.0,281155.264,108.91015851674686
Fernandes Tourinho,2825.0,45855.955,0.0
Ferros,9666.0,147924.141,108.52904385716103
Fervedouro,10693.0,156888.605,0.0
Florestal,8386.0,142808.925,3.3174289258506744
Formiga,70668.0,2214110.063,11.444443871614858
Formoso,8103.0,314916.613,345.8408528246906
Fortaleza de Minas,3485.0,111306.451,0.0
Fortuna de Minas,3207.0,51272.056,0.0
Francisco Badaró,7208.0,77813.502,0.0
Francisco Dumont,4564.0,75609.494,95.49092325757876
Francisco Sá,23819.0,451860.265,151.11793712017428
Franciscópolis,5062.0,102827.542,93.04210956718794
Frei Gaspar,5741.0,80106.277,16.006192834936726
Frei Inocêncio,8334.0,150489.857,0.0
Frei Lagonegro,3475.0,35559.07,2.9980574964340625
Fronteira,14909.0,935151.865,0.0
Fronteira dos Vales,4405.0,48953.206,7.87312185316282
Fruta de Leite,4607.0,47085.742,0.0
Frutal,60942.0,2473117.867,595.8052039524418
Funilândia,4886.0,83332.732,1.4392963441721696
Galiléia,6281.0,113734.445,0.0
Gameleiras,4863.0,57339.107,372.35183375083267
Glaucilândia,2991.0,41128.724,41.23025475969948
Goiabeira,2869.0,49908.236,0.0
Goianá,4190.0,62270.287,0.0
Gonçalves,4891.0,94284.947,1.6581926661081126
Gonzaga,5271.0,68973.104,0.0
Gouveia,11549.0,198923.355,0.0
Governador Valadares,266649.0,7382837.155,22.719961048322595
Grão Mogol,14091.0,770889.042,269.76335872725826
Grupiara,1426.0,44200.113,0.0
Guanhães,33434.0,996965.154,210.99979157553537
Guapé,14073.0,390783.503,26.397307054302924
Guaraciaba,9921.0,115228.39,0.0
Guaraciama,5203.0,78026.547,0.0
Guaranésia,19611.0,549336.073,0.0
Guarani,7780.0,173714.44,2.477917892178071
Guarará,3132.0,57636.132,0.0
Guarda-Mor,6684.0,750723.257,469.46752412040934
Guaxupé,52621.0,2806365.843,0.0
Guidoval,7284.0,123658.948,0.0
Guimarânia,8808.0,327235.78,25.375087916471774
Guiricema,7850.0,114431.438,3.328133901057658
Gurinhatã,5203.0,180809.039,22.376968465210627
Heliodora,6274.0,133453.974,3.530826608821067
Iapu,12486.0,176418.878,8.578355846030034
Ibertioga,5334.0,103561.239,0.0
Ibiá,22596.0,1534749.371,86.80741093218573
Ibiaí,6254.0,114963.201,77.66626028071171
Ibiracatu,5139.0,51265.028,0.0
Ibiraci,11057.0,728304.874,15.638717754890397
Ibirité,178713.0,3203506.455,0.0
Ibitiúra de Minas,3439.0,77637.614,0.0
Ibituruna,2740.0,59357.58,0.0
Icaraí de Minas,10912.0,111446.652,21.686837243899227
Igarapé,48475.0,967311.812,0.0
Igaratinga,11252.0,578190.305,0.0
Iguatama,6845.0,587430.103,45.47281328998842
Ijaci,7291.0,494881.518,0.0
Ilicínea,13171.0,265383.843,6.542758316269373
Imbé de Minas,7208.0,101173.684,0.0
Inconfidentes,7510.0,132576.425,1.3003609410842976
Indaiabira,6379.0,87311.937,44.340815469306925
Indianópolis,6309.0,875662.548,390.3673207184761
Ingaí,2633.0,115702.196,0.0
Inhapim,23000.0,404796.05,0.0
Inhaúma,6435.0,145789.494,5.285059815854728
Inimutaba,7587.0,90737.069,6.066923378624391
Ipaba,17554.0,180314.904,0.0
Ipanema,20095.0,344577.052,0.0
Ipatinga,235445.0,17609176.968,0.0
Ipiaçu,3823.0,183083.671,0.0
Ipuiúna,9299.0,188529.604,0.0
Iraí de Minas,7423.0,301550.93,2.887355073525821
Itabira,117747.0,14971929.073,0.0
Itabirinha,10560.0,136423.413,0.0
Itabirito,55877.0,13139828.428,0.0
Itacambira,4265.0,61720.789,1.8219453000466406
Itacarambi,17521.0,226363.113,547.7409180098131
Itaguara,14325.0,402464.393,0.0
Itaipé,10549.0,121601.574,0.0
Itajubá,96632.0,3288440.957,4.117485283169373
Itamarandiba,34137.0,647509.275,5.059587604581385
Itamarati de Minas,3730.0,67335.811,0.0
Itambacuri,21296.0,341051.753,52.133400814927654
Itambé do Mato Dentro,2175.0,35921.695,0.0
Itamogi,11062.0,236364.975,0.0
Itamonte,15193.0,1182177.238,0.0
Itanhandu,15684.0,470229.411,0.0
Itanhomi,11298.0,151295.731,0.0
Itaobim,19354.0,308690.477,34.235734581950204
Itapagipe,14004.0,514268.71,295.8068204839788
Itapecerica,21462.0,629194.529,4.240397673394108
Itapeva,13332.0,848635.599,3.743379600792838
Itatiaiuçu,13603.0,6934792.196,0.0
Itaú de Minas,14655.0,724265.539,0.0
Itaúna,102500.0,5084952.278,0.0
Itaverava,5752.0,71362.81,0.0
Itinga,13982.0,148257.86,185.75363033176058
Itueta,6218.0,122206.873,11.254494297687621
Ituiutaba,106397.0,3797931.79,466.61601955167964
Itumirim,6845.0,91621.644,0.0
Iturama,40011.0,2017454.893,0.0
Itutinga,4347.0,172514.573,0.0
Jaboticatubas,21214.0,297900.739,2.821009311269771
Jacinto,11169.0,131584.428,30.071471163537456
Jacuí,7663.0,150968.389,0.0
Jacutinga,26705.0,1143965.044,0.0
Jaguaraçu,3173.0,109845.21,2.8565953995335045
Jaíba,39379.0,849209.777,1359.5890850755907
Jampruca,4306.0,82539.515,0.0
Janaúba,73281.0,1603650.577,669.2037550830909
Januária,67087.0,824599.063,243.89008071558982
Japaraíba,4672.0,101337.42,3.928633917203951
Japonvar,8357.0,77422.822,8.815773916748398
Jeceaba,6428.0,1953258.616,0.0
Jenipapo de Minas,6124.0,79480.385,0.0
Jequeri,12652.0,193980.906,4.882295926510701
Jequitaí,6460.0,130473.747,32.046782102950374
Jequitibá,6098.0,126191.23,1.4392963441721696
Jequitinhonha,24509.0,274831.774,249.11609087059168
Jesuânia,5296.0,104203.604,7.802131086184535
Joaíma,14084.0,162643.746,47.99943679201054
Joanésia,4304.0,110226.932,8.610496556200752
João Monlevade,83360.0,4851241.182,0.0
João Pinheiro,48532.0,2156171.024,896.1204492735831
Joaquim Felício,3891.0,72335.229,38.11191319874986
Jordânia,10536.0,107172.301,5.063843354899956
José Gonçalves de Minas,3993.0,51745.418,0.0
José Raydan,4352.0,72338.422,10.326341377579833
Josenópolis,3607.0,58027.663,0.0
Nova União,6083.0,107517.633,0.0
Juatuba,32726.0,1437154.795,0.0
Juiz de Fora,565764.0,20297559.28,0.0
Juramento,3815.0,51608.971,0.0
Juruaia,11543.0,274109.307,0.0
Juvenília,5929.0,65632.737,102.02878403380448
Ladainha,14399.0,147329.759,6.179094455839435
Lagamar,6672.0,242527.188,14.322232393925235
Lagoa da Prata,53583.0,1986274.145,225.05972733552153
Lagoa dos Patos,3285.0,59611.044,3.2707387799091654
Lagoa Dourada,13116.0,345418.19,10.229892843510699
Lagoa Formosa,19507.0,565583.483,3.4298540991338973
Lagoa Grande,9210.0,292506.347,231.19990037794162
Lagoa Santa,79981.0,2189391.49,50.85268162114762
Lajinha,21422.0,399673.221,0.0
Lambari,20950.0,405063.763,0.0
Lamim,3226.0,52130.714,0.0
Laranjal,6042.0,95787.531,0.0
Lassance,7358.0,192541.291,254.14733222680792
Lavras,109884.0,2941930.863,0.0
Leandro Ferreira,3270.0,55510.38,0.0
Leme do Prado,4387.0,66204.533,0.0
Leopoldina,52696.0,1113026.555,42.288041084410786
Liberdade,4775.0,107638.401,0.0
Lima Duarte,17712.0,339660.356,16.654972181321707
Limeira do Oeste,9087.0,462851.239,127.51437377180653
Lontra,8968.0,93857.735,0.0
Luisburgo,7195.0,132788.73,0.0
Luislândia,6329.0,65473.851,10.220243640987086
Luminárias,5731.0,149070.368,0.0
Luz,18304.0,657024.724,44.570367113050665
Machacalis,6579.0,112451.165,0.0
Machado,38831.0,1373850.261,0.0
Madre de Deus de Minas,5341.0,301987.845,29.493067169917722
Malacacheta,17751.0,235819.04,22.76020320007972
Mamonas,6096.0,60107.096,0.0
Manga,19188.0,243370.558,182.765652489586
Manhuaçu,96545.0,3278527.106,59.29654967862212
Manhumirim,20970.0,563494.376,0.0
Mantena,27358.0,476939.715,6.576442403117436
Maravilhas,7518.0,233154.055,3.9276592069415615
Mar de Espanha,13119.0,227578.1,0.0
Maria da Fé,14557.0,203136.241,2.843227601907897
Mariana,64058.0,7367378.398,0.0
Marilac,4320.0,57718.793,6.044768042469978
Mário Campos,16546.0,197999.95,0.0
Maripá de Minas,3532.0,74979.157,2.667339227953439
Marliéria,4761.0,60449.549,4.056455541636634
Marmelópolis,3299.0,42793.691,0.0
Martinho Campos,14461.0,474771.927,0.0
Martins Soares,8725.0,215680.786,0.0
Mata Verde,9458.0,91576.89,0.0
Materlândia,3982.0,60533.919,18.786984792901304
Mateus Leme,40239.0,1079650.545,0.0
Matias Barbosa,14501.0,628204.762,0.0
Matias Cardoso,8975.0,158637.536,375.86592614346404
Matipó,19054.0,425321.565,6.165367655284941
Mato Verde,12238.0,157577.884,8.407571743803611
Matozinhos,39291.0,1506153.894,0.0
Matutina,3907.0,97194.489,0.0
Medeiros,4040.0,247329.857,147.6499896634491
Medina,20492.0,253050.631,100.38025009302012
Mendes Pimentel,5651.0,77396.23,0.0
Mercês,10609.0,151768.137,20.552599823614607
Mesquita,5038.0,59462.506,80.74520651263262
Minas Novas,24191.0,350142.236,0.0
Minduri,3815.0,163785.625,0.0
Mirabela,14029.0,163016.755,49.21645678092487
Miradouro,9026.0,174005.987,1.6262386800702309
Miraí,13922.0,334110.12,0.0
Miravânia,4011.0,46807.545,12.27485654065329
Moeda,5291.0,76841.618,0.0
Moema,7778.0,152615.014,0.0
Monjolos,2196.0,46810.817,5.914848874894364
Monsenhor Paulo,8550.0,228157.862,4.308798885902858
Montalvânia,14160.0,165415.549,14.421009292428845
Monte Alegre de Minas,20666.0,757891.676,49.73795438484151
Monte Azul,20577.0,256131.6,89.91396686752374
Monte Belo,13340.0,365890.025,0.0
Monte Carmelo,49354.0,1558715.522,204.29126592129379
Monte Formoso,4449.0,44054.664,24.553978039366076
Monte Santo de Minas,21301.0,483352.444,4.643774420422823
Montes Claros,434321.0,10800251.127,238.26417663369938
Monte Sião,24933.0,606447.925,0.0
Montezuma,6979.0,91070.653,22.067474179090752
Morada Nova de Minas,9364.0,541170.863,0.0
Morro da Garça,2438.0,51050.961,19.098071973272468
Morro do Pilar,3174.0,44118.412,0.0
Munhoz,7857.0,128562.707,0.0
Muriaé,108161.0,2655056.073,3.96985916149576
Mutum,28670.0,508583.276,0.0
Muzambinho,22527.0,535441.387,15.053526101477772
Nacip Raydan,2437.0,37386.162,0.0
Nanuque,35554.0,808599.244,0.0
Naque,6442.0,90048.43,21.448674753022722
Natalândia,3626.0,75129.22,63.114803330795446
Natércia,4800.0,115353.668,0.0
Nazareno,8390.0,668881.684,0.0
Nepomuceno,25774.0,618502.085,3.446298952655385
Ninheira,10915.0,126383.631,231.3469330048873
Nova Belém,3156.0,83427.987,0.0
Nova Era,17807.0,432890.662,10.012308460350475
Nova Lima,119142.0,21042645.561,27.329509234279207
Nova Módica,3731.0,58650.382,0.0
Nova Ponte,15113.0,1116305.097,848.016599579089
Nova Porteirinha,6780.0,116257.078,2.300409548240501
Nova Resende,16854.0,385669.16,0.0
Nova Serrana,112910.0,2635891.717,0.0
Novo Cruzeiro,27453.0,330447.377,33.20239394088495
Novo Oriente de Minas,10501.0,121570.796,6.507968479368348
Novorizonte,4630.0,70417.301,1.9461852652710294
Olaria,1986.0,31909.408,0.0
Olhos-d'Água,5520.0,211931.366,71.51818754806058
Olímpio Noronha,2616.0,43929.179,8.636523947752652
Oliveira,40552.0,1105050.646,0.0
Oliveira Fortes,2062.0,40532.048,0.0
Onça de Pitangui,3027.0,64915.46,2.700745333823431
Oratórios,5076.0,70863.711,0.0
Orizânia,8759.0,122059.387,0.0
Ouro Branco,40411.0,8842769.128,0.0
Ouro Fino,33227.0,934188.838,0.0
Ouro Preto,77601.0,9520034.932,0.0
Ouro Verde de Minas,5858.0,67813.645,386.6732483673611
Padre Carvalho,5085.0,58192.195,0.0
Padre Paraíso,17537.0,213919.495,4.9245137957475755
Paineiras,4273.0,82825.181,0.0
Pains,8341.0,531428.183,9.164907953517469
Pai Pedro,5634.0,58645.028,512.6927526768702
Paiva,1498.0,27300.805,0.0
Palma,5742.0,103673.351,5.5627392499099235
Palmópolis,6373.0,63873.542,0.0
Papagaios,14207.0,374342.746,5.935121792754286
Paracatu,98397.0,7198616.577,1703.737513507979
Pará de Minas,102033.0,4025297.487,0.0
Paraguaçu,22357.0,650753.977,14.41083430701952
Paraisópolis,21005.0,592589.517,0.0
Paraopeba,24800.0,918486.788,7.984284206314845
Passabém,1617.0,23595.314,0.0
Passa Quatro,15842.0,472422.871,0.0
Passa Tempo,8696.0,480322.268,0.0
Passa Vinte,2301.0,42087.451,0.0
Passos,116530.0,3024708.966,150.02493851029826
Patis,4863.0,55018.0,35.78495969210121
Patos de Minas,167870.0,6145130.273,196.50500146055117
Patrocínio,93852.0,3678403.581,405.8740782827789
Patrocínio do Muriaé,5735.0,116065.17,0.0
Paula Cândido,8786.0,136814.576,166.5718286325022
Paulistas,4429.0,67350.016,6.309354032156806
Pavão,8168.0,93077.579,0.0
Peçanha,17843.0,270147.941,11.733354918075634
Pedra Azul,24999.0,401447.683,97.01864447294373
Pedra Bonita,7559.0,96477.229,0.0
Pedra do Anta,3371.0,57727.371,17.551131168832452
